T_ZONE,T_ZONEGRP,T_ZONEDSC
Alluvial plains and river terraces,Alluvial Lands and Marshlands,Flat and undulating surfaces
Carboniferous limestone landscapes,N/A,"Limestone and Chalk escarpments: with harder limestones, these give rise to flat-topped hills, with stepped hillsides reflecting lithology. Drift is present as thin veneers on many surfaces, but is also accumulated in valleys"
Chalk landscapes,N/A,"Limestone and Chalk escarpments: Chalk landscapes posses smooth rounded contours. Drift is present as thin veneers on many surfaces, but is also accumulated in valleys"
Chalky drift veneered plateaux,Drift Constructional Landscapes (Morainic),With country rocks concealed with varied thicknesses of deposits; river incision gives variety. Including drifts containing large amounts of flint
Clay or marl lowlands,N/A,"Broad tracts, broken by watershed ridges where resistant beds occur. Flanking the great rivers and their tributaries. Higher portions have thin drift veneers"
Dissected hills,N/A,"Rolling countryside, with veneers of drift; ridges and plateau surfaces interspersed with rather broad valleys"
Dissected low plateaux and ridges,N/A,"Steep-sided valleys, with drowned lower courses, particularly along southern coasts"
Drift veneered dissected hills,N/A,"With drift cappings on summits and country rocks, sandstones and shales along valley sides"
Fenlands,Alluvial Lands and Marshlands,Lowland peats intercalated with marine clays
Inland water,N/A,N/A
Jurassic limestone landscapes,N/A,"Limestone and Chalk escarpments: with harder limestones, these give rise to flat-topped hills, with stepped hillsides reflecting lithology. Drift is present as thin veneers on many surfaces, but is also accumulated in valleys"
Lacustrine clay plains,Deposits Associated with Glaciation,Thick beds of clays and silts; topography generally rather flat or undulating
Landscapes smothered with deep Chalky drift,Drift Constructional Landscapes (Morainic),Including drifts containing large amounts of flint
Landscapes smothered with deep Red drift,Drift Constructional Landscapes (Morainic),N/A
Landscapes smothered with other deep drift,Drift Constructional Landscapes (Morainic),N/A
Loess deposits,Deposits Associated with Glaciation,Windblown materials
Magnesian limestone landscapes,N/A,"Limestone and Chalk escarpments: with harder limestones, these give rise to flat-topped hills, with stepped hillsides reflecting lithology. Drift is present as thin veneers on many surfaces, but is also accumulated in valleys"
Marshes,Alluvial Lands and Marshlands,"Very flat terrains, with subtle height changes"
"Mountains, plateaux and dissected plateaux",N/A,"Upland peaks and surfaces, often stepped with rock scars on slopes, and visible evidence of glaciation; frost shattering on exposed portions; veneers of drift general, with hill peat on flatter surfaces"
Other drift veneered plateaux,Drift Constructional Landscapes (Morainic),With country rocks concealed with varied thicknesses of deposits; river incision gives variety.
Outwash sands and gravels,Deposits Associated with Glaciation,"Later dissected by stream action, with periglacial deposits; merging with alluvial terraces"
Red drift veneered plateaux,Drift Constructional Landscapes (Morainic),With country rocks concealed with varied thicknesses of deposits; river incision gives variety.
Sandstone and sandy lands,N/A,"Hilly rolling countrysides, rising to local summits"
Sandstone escarpments and ridges,N/A,Seen in the lower scarped slopes of the Pennines; tabular landscapes with rolling summits and steep scarps with rock outcrops
Sandy lands with some clays and gravels,N/A,"Subdued, rolling countrysides"
Terminal moraines and drumlins,Deposits Associated with Glaciation,"Rolling hummocky topography, sometimes separated by marshy hollows and lacustrine flats"
Upland valley lands and dissected plateaux,N/A,"Rolling countrysides, with veneers of drift; steeper slopes can be craggy. Plateau surfaces interspersed with rather broad valleys"
